epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0878,1.52685,3.25043,1.34921,0.28844,0.42841,0.22358,0.15508,1.53234,3.75071,1.39968,0.000544553,0.000544553,0.000544553
2,104.754,1.63782,2.08184,1.41863,0.23385,0.23039,0.14534,0.07871,1.75307,3.2067,1.61576,0.00108933,0.00108933,0.00108933
3,201.678,1.68129,2.09133,1.43551,0.09498,0.25494,0.08441,0.05251,1.93979,5.08511,1.67257,0.0016231,0.0016231,0.0016231
4,273.315,1.68812,1.99264,1.46886,0.40541,0.33574,0.29354,0.18218,1.82074,2.61374,1.7273,0.00161749,0.00161749,0.00161749
5,345.297,1.65773,1.93043,1.45619,0.32389,0.34134,0.27485,0.16517,1.85934,2.48934,1.79002,0.00160099,0.00160099,0.00160099
6,412.477,1.64039,1.90539,1.43247,0.40626,0.37286,0.26432,0.16548,1.88076,2.97679,1.70647,0.00158448,0.00158448,0.00158448
7,480.383,1.64483,1.94529,1.44588,0.43459,0.37945,0.34149,0.21887,1.77737,2.29334,1.58585,0.00156798,0.00156798,0.00156798
8,554.015,1.56832,1.82074,1.3821,0.56148,0.35659,0.38464,0.24483,1.74874,2.12316,1.62943,0.00155148,0.00155148,0.00155148
9,625.256,1.5982,1.8509,1.38168,0.61081,0.34439,0.36506,0.24198,1.8596,2.31757,1.6339,0.00153497,0.00153497,0.00153497
10,733.188,1.56447,1.76986,1.35724,0.40084,0.39384,0.32493,0.20224,1.69606,2.26478,1.5244,0.00151847,0.00151847,0.00151847
11,812.454,1.53523,1.78774,1.37646,0.5767,0.28103,0.31878,0.20624,1.71815,2.18846,1.50317,0.00150197,0.00150197,0.00150197
12,882.838,1.51814,1.73388,1.35069,0.51974,0.36961,0.39337,0.23873,1.73136,2.18185,1.46978,0.00148546,0.00148546,0.00148546
13,954.186,1.51274,1.69327,1.34775,0.48378,0.36354,0.35767,0.24184,1.64772,2.08264,1.49973,0.00146896,0.00146896,0.00146896
14,1027.19,1.51317,1.70495,1.32548,0.51778,0.43344,0.42523,0.26833,1.67923,1.97854,1.46102,0.00145246,0.00145246,0.00145246
15,1103.04,1.53866,1.70105,1.34991,0.50294,0.41272,0.35727,0.23289,1.62558,2.18035,1.44012,0.00143595,0.00143595,0.00143595
16,1204.77,1.4806,1.61447,1.31384,0.6208,0.41434,0.47669,0.3251,1.56959,1.78126,1.38704,0.00141945,0.00141945,0.00141945
17,1319.74,1.46617,1.58957,1.29465,0.58902,0.43789,0.45377,0.30767,1.51731,1.97736,1.3758,0.00140295,0.00140295,0.00140295
18,1393.91,1.40167,1.54829,1.27134,0.60967,0.33389,0.40109,0.27129,1.70973,2.01957,1.46704,0.00138644,0.00138644,0.00138644
19,1465.87,1.43886,1.55591,1.26825,0.55544,0.47104,0.47327,0.32672,1.53897,1.81457,1.39179,0.00136994,0.00136994,0.00136994
20,1537.78,1.41962,1.54525,1.28257,0.51579,0.44399,0.43231,0.29597,1.53532,1.85352,1.40846,0.00135344,0.00135344,0.00135344
21,1608.41,1.40229,1.48831,1.27864,0.63367,0.44648,0.46145,0.31301,1.54931,1.76536,1.41738,0.00133693,0.00133693,0.00133693
22,1693.43,1.40956,1.49208,1.27385,0.57919,0.46247,0.47767,0.3247,1.54323,1.68582,1.40095,0.00132043,0.00132043,0.00132043
23,1816.4,1.39509,1.44905,1.26454,0.55754,0.45653,0.43872,0.30174,1.58275,1.76595,1.38847,0.00130393,0.00130393,0.00130393
